id,source,split,cif_path,y_true,formula,natoms,structure_failure
mb-mp-e-form-090598,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-090598.cif,-2.147469428321429,Li4Co3Ni3(PO4)6,40,
mb-mp-e-form-127644,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-127644.cif,-3.2634477117073177,Li5Ti12O24,41,
mb-mp-e-form-037185,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-037185.cif,-0.5152909995454539,Al9Ir2,22,
mb-mp-e-form-109201,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-109201.cif,-2.6150670905,Sr2CoWO6,10,
mb-mp-e-form-073363,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-073363.cif,-1.680186983046875,LiHoSe2,8,
mb-mp-e-form-075801,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075801.cif,-1.7175577277499996,YBiO3,5,
mb-mp-e-form-055202,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055202.cif,-0.9571769549878254,NiH9C4(NO2)3,92,
mb-mp-e-form-050851,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-050851.cif,-0.8025117844642858,LiSm(CuP)2,6,
mb-mp-e-form-132489,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132489.cif,-4.136365133666667,SmTh4O10,15,
mb-mp-e-form-118275,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-118275.cif,-2.878354352692308,BaMg2V2O8,52,
mb-mp-e-form-126085,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-126085.cif,-3.224330112692308,NaAlSi3O8,26,
mb-mp-e-form-075256,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075256.cif,-1.716429942083333,Np(IO3)2,36,
mb-mp-e-form-015970,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-015970.cif,-0.0914353757142859,Li(Mg2Si)2,7,
