run_id,family,model,seed,split,paired_unit,n,draws,baseline_mae_mev_atom,formdelta_mae_mev_atom,mean_improvement_mev_atom,median_paired_improvement_mev_atom,ci95_low_mev_atom,ci95_high_mev_atom,bootstrap_probability_improvement_gt0,bootstrap_p_two_sided_around_zero,prediction_path
eqv3_lora_seed20260528,eqv3_lora,EqV3-LoRA,20260528,test,structure row,2048,10000,12.025161254403326,10.658264154202637,1.366897100200689,1.1649420806885136,1.180324384626933,1.5556098475370665,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260528/canonical_formdelta_predictions.csv
eqv3_lora_seed20260529,eqv3_lora,EqV3-LoRA,20260529,test,structure row,2048,10000,13.27308731240609,11.47296514467433,1.800122167731762,1.3799105026245373,1.5649503612616367,2.0361706536392994,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260529/canonical_formdelta_predictions.csv
eqv3_lora_seed20260530,eqv3_lora,EqV3-LoRA,20260530,test,structure row,2048,10000,16.025429772465753,13.482827834227592,2.5426019382381595,1.160550000000038,2.2118859392343966,2.868933377263294,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260530/canonical_formdelta_predictions.csv
eqv3_lora_seed20260531,eqv3_lora,EqV3-LoRA,20260531,test,structure row,2048,10000,13.516399873221186,12.17573860632794,1.3406612668932472,0.7505799999999452,1.0448721400895136,1.6403164024763364,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260531/canonical_formdelta_predictions.csv
eqv3_lora_seed20260532,eqv3_lora,EqV3-LoRA,20260532,test,structure row,2048,10000,13.63627399752514,12.170259140545662,1.466014856979478,1.0956500000001146,1.254019246849122,1.675361048054791,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260532/canonical_formdelta_predictions.csv
mace_seed20260528,mace,MACE,20260528,test,structure row,2048,10000,112.54239513077653,33.502165468067226,79.0402296627093,54.79825011365747,74.46098940732675,83.70423773589195,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260528/canonical_formdelta_predictions.csv
mace_seed20260529,mace,MACE,20260529,test,structure row,2048,10000,112.54239513077653,32.89363526277003,79.6487598680065,56.821385,75.10859709321487,84.43001831757682,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260529/canonical_formdelta_predictions.csv
mace_seed20260530,mace,MACE,20260530,test,structure row,2048,10000,112.54239513077653,32.63759258383544,79.90480254694108,57.31637356249986,75.38758581603152,84.60613137445615,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/mace_seed20260530/canonical_formdelta_predictions.csv
sevennet_seed20260528,sevennet,SevenNet,20260528,test,structure row,2048,10000,86.22863148199991,61.48399707115982,24.74463441084011,16.006382999999907,21.78974379710489,27.649097617780363,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/sevennet_seed20260528/canonical_formdelta_predictions.csv
sevennet_seed20260529,sevennet,SevenNet,20260529,test,structure row,2048,10000,86.22863148199991,61.165919529219735,25.06271195278019,16.751999999999995,22.110729309957122,28.15891765833022,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/sevennet_seed20260529/canonical_formdelta_predictions.csv
sevennet_seed20260530,sevennet,SevenNet,20260530,test,structure row,2048,10000,86.22863148199991,61.628737790285086,24.59989369171484,16.804206785713482,21.730130102811934,27.577762710394857,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/sevennet_seed20260530/canonical_formdelta_predictions.csv
chgnet_seed20260528,chgnet,CHGNet,20260528,test,structure row,2048,10000,33.76272668342852,27.645850588657254,6.116876094771267,3.3368600000003577,5.112003782924108,7.12494639290339,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/chgnet_seed20260528/canonical_formdelta_predictions.csv
chgnet_seed20260529,chgnet,CHGNet,20260529,test,structure row,2048,10000,33.76272668342852,28.988459448347328,4.774267235081192,2.656666081884363,3.8200716877466045,5.7457530578596,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/chgnet_seed20260529/canonical_formdelta_predictions.csv
chgnet_seed20260530,chgnet,CHGNet,20260530,test,structure row,2048,10000,33.76272668342852,27.817348890434687,5.945377792993832,2.6875099999999215,4.85691341336299,7.024840917335471,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/chgnet_seed20260530/canonical_formdelta_predictions.csv
alignn_seed20260528,alignn,ALIGNN,20260528,test,structure row,2048,10000,69.0633426962642,68.17037220426006,0.8929704920041344,0.6035850000001819,0.4397557978814355,1.3579289879240444,0.9999,0.0002,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/alignn_seed20260528/canonical_formdelta_predictions.csv
alignn_seed20260529,alignn,ALIGNN,20260529,test,structure row,2048,10000,69.0633426962642,68.14386272105605,0.9194799752081476,0.5751699999999857,0.5189786793512419,1.3230871409655007,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/alignn_seed20260529/canonical_formdelta_predictions.csv
alignn_seed20260530,alignn,ALIGNN,20260530,test,structure row,2048,10000,69.0633426962642,68.23140665969515,0.8319360365690358,0.9622500000000542,0.19814878732596589,1.469153267411552,0.9948,0.0104,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/alignn_seed20260530/canonical_formdelta_predictions.csv
matris_seed20260528,matris,MatRIS,20260528,test,structure row,2045,10000,112.23221457315871,29.860587210747067,82.37162736241166,57.29110000000004,77.7740942236655,87.03400344792392,1.0,0.0,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/matris_seed20260528/canonical_formdelta_predictions.csv
