id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-1187428,Ti2FeRu,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1187428.cif,train,-0.5072637695833322,-8.95205020904541,-0.4752422031557177,-0.4802102511224193,-0.9014173583521686,4,3
mp-569421,Hg9P5I6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-569421.cif,train,-0.2163795954940496,-2.093594741821289,-0.1775306002950367,-0.1795574499006278,-0.3514002873463504,80,3
mp-3412,Eu(CuSi)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3412.cif,train,-0.4882002929999999,-6.323432159423828,-0.4221762729521954,-0.4202570288379244,-0.257537331511916,5,3
mp-20127,NpAsSe,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-20127.cif,train,-1.461288816770832,-7.96090571085612,-1.4613087210270148,-1.461308444861233,-1.4612850306392775,6,3
mp-1187654,TmMg5,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1187654.cif,train,0.0248998441666662,-2.0671470959981284,0.0675356342155351,0.0680369462022598,0.1105397910144285,6,2
mp-28283,CsTiCl3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-28283.cif,train,-1.9461541788333327,-4.546529006958008,-1.8584195776448853,-1.8554155888088744,-1.6007277403322837,10,3
mp-1093909,SrCaMg2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1093909.cif,train,1.5085033274999995,-0.3267487287521362,1.3912177155704342,1.3717982672993323,-0.2746451014222306,4,3
mp-865224,Th2BiTe,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-865224.cif,train,-0.9568619362500002,-6.305983543395996,-0.959664777417916,-0.9595779379527204,-0.9522154084105172,4,3
mp-1019052,ReN,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1019052.cif,train,-0.0085837256249969,-10.343921025594076,-0.0899734682483401,-0.0930599516331955,-0.3547419536533556,6,2
mp-4334,Sm(CoGe)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-4334.cif,train,-0.5591220359999994,-6.234244155883789,-0.6163773182185084,-0.6133313516162646,-0.3550844929183318,5,3
mp-865796,LuCdRh2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-865796.cif,train,-0.6920993941666644,-5.667860507965088,-0.6416867413386127,-0.6398070212591787,-0.4804382989020282,4,3
mp-28276,K2PrBr5,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-28276.cif,train,-2.131941931458334,-3.7667315006256095,-2.0530187897076964,-2.047118307243985,-1.5468564002634513,32,3
mp-1080449,SmZnPd,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1080449.cif,train,-0.7347808216666686,-4.4301473829481335,-0.7049266747191414,-0.7062382704331789,-0.8174395793311136,9,3
mp-978268,MgZn,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-978268.cif,train,-0.0670310925000006,-1.5112080574035645,-0.0352112634718109,-0.0304610198927655,0.3722799298679902,4,2
mp-978912,TbYIr2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-978912.cif,train,-0.9000588150000013,-7.980861663818359,-0.8095355984231798,-0.8126702037507787,-1.0784321390616731,4,3
mp-1003920,Mn2HO4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1003920.cif,train,-1.8307664103879304,-6.782490321568081,-1.4365160885546793,-1.4421838337511188,-1.922713525636159,28,3
mp-28585,Nb3ICl6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-28585.cif,train,-1.329212330125,-5.451331710815429,-1.2978893562375298,-1.301251664431252,-1.5863189820954884,80,3
mp-1193685,Rb3FeS3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1193685.cif,train,-1.1416325288839275,-4.297050748552595,-1.1029408676933796,-1.1087456724481726,-1.6008957151206071,28,3
mp-1209289,RbGd3F10,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1209289.cif,train,-4.210552765803572,-8.341714586530413,-4.30287775271478,-4.292369898325417,-3.401480160504605,28,3
mp-978269,MgZn2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-978269.cif,train,-0.1404583583333346,-1.4963823954264324,-0.1017629558387003,-0.0970881976002262,0.2992528618709751,6,2
mp-18280,SiO2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-18280.cif,train,-3.022098342777778,-7.900653415256077,-3.1391867961147337,-3.132024707761514,-2.5247997902072354,36,2
mp-aaaieinz,CaY2SnO6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-aaaieinz.cif,train,-2.499590556250001,-7.100352478027344,-2.600399112293468,-2.6002093249510025,-2.584118542807284,10,4
mp-1101715,VCrO3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1101715.cif,train,-2.51402590725,-7.970227813720703,-2.230780080370512,-2.2329118200346176,-2.4136475744604438,20,3
