match_level,mp_id,jarvis_id,formula,reduced_formula,natoms,mp_label_ev_atom,jarvis_label_ev_atom,delta_mev_atom,abs_delta_mev_atom
reduced_formula_plus_natoms,mb-mp-e-form-000002,JVASP-36110,CdC,CdC,2,2.1030478831250004,2.03892,-64.12788312500028,64.12788312500028
reduced_formula_plus_natoms,mb-mp-e-form-000003,JVASP-36110,CdC,CdC,2,1.9835657181250004,2.03892,55.354281874999685,55.354281874999685
reduced_formula_plus_natoms,mb-mp-e-form-000005,JVASP-36266,AgC,AgC,2,2.235058755625,2.19497,-40.088755624999806,40.088755624999806
reduced_formula_plus_natoms,mb-mp-e-form-000007,JVASP-36266,AgC,AgC,2,2.2577964756249997,2.19497,-62.82647562499966,62.82647562499966
reduced_formula_plus_natoms,mb-mp-e-form-000009,JVASP-16921,AgN,AgN,2,1.5378644238100003,1.69868,160.81557618999963,160.81557618999963
reduced_formula_plus_natoms,mb-mp-e-form-000010,JVASP-16921,AgN,AgN,2,1.5329490188100006,1.69868,165.7309811899994,165.7309811899994
reduced_formula_plus_natoms,mb-mp-e-form-000013,JVASP-35984,IrC,IrC,2,1.6755006356249993,1.22284,-452.6606356249994,452.6606356249994
reduced_formula_plus_natoms,mb-mp-e-form-000016,JVASP-78327,O2,O2,1,1.56497783875,1.44787,-117.10783874999997,117.10783874999997
reduced_formula_plus_natoms,mb-mp-e-form-000027,JVASP-78440,KB,KB,2,2.0830231926666665,1.88621,-196.81319266666654,196.81319266666654
reduced_formula_plus_natoms,mb-mp-e-form-000029,JVASP-78460,RbB,RbB,2,2.1898440214942525,1.96749,-222.35402149425255,222.35402149425255
reduced_formula_plus_natoms,mb-mp-e-form-000034,JVASP-105705,O2,O2,4,1.6790399737500001,-0.01178,-1690.8199737500001,1690.8199737500001
reduced_formula_plus_natoms,mb-mp-e-form-000039,JVASP-19841,ThCo5,ThCo5,6,2.363049625000001,-0.13388,-2496.9296250000007,2496.9296250000007
reduced_formula_plus_natoms,mb-mp-e-form-000046,JVASP-90415,Co(N3Cl)2,Co(N3Cl)2,9,2.3614666721333344,2.58785,226.38332786666558,226.38332786666558
