id,source,split,cif_path,y_true,formula,natoms,structure_failure
mb-mp-e-form-109201,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-109201.cif,-2.6150670905,Sr2CoWO6,10,
mb-mp-e-form-055202,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055202.cif,-0.9571769549878254,NiH9C4(NO2)3,92,
mb-mp-e-form-132489,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132489.cif,-4.136365133666667,SmTh4O10,15,
mb-mp-e-form-076291,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-076291.cif,-1.75468017169335,CsNa5(FeO3)2,56,
mb-mp-e-form-114654,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-114654.cif,-2.7354888887762963,LiV2(OF)3,27,
mb-mp-e-form-116015,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-116015.cif,-2.798868930706333,Na5Pr4Ge4O16F,30,
mb-mp-e-form-113702,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-113702.cif,-2.7068858141541354,Li2V2(PO4)3,76,
mb-mp-e-form-039976,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-039976.cif,-0.5724872608333319,NdCuSn,6,
mb-mp-e-form-017613,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-017613.cif,-0.121504793839,S4(BrN)3,40,
mb-mp-e-form-047778,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-047778.cif,-0.7159898001341466,K(Zr3I7)4,164,
mb-mp-e-form-037538,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-037538.cif,-0.4993769279629624,Eu(BIr)4,18,
mb-mp-e-form-087511,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-087511.cif,-2.083966280108696,Dy2(BiO2)7,23,
mb-mp-e-form-034622,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-034622.cif,-0.4497299322222226,LiGa3Te5,36,
mb-mp-e-form-053715,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-053715.cif,-0.8914195750411094,H3ClO5,36,
